ID	Macrosegmento	Segmento Empresarial	Especialidade Principal	Serviços Principais	Palavras-chave / Termos de Busca	ICP B2B (Cliente Ideal)	Setores-alvo	Necessidade / Dor que Resolve	Sinais de Oportunidade para Busca	Objetivo de Captação	Modelo de Contratação	Potencial de Recorrência
B2B-0001	Marketing e Comunicação	Agência de Marketing Digital	Planejamento digital	"Planejamento digital; Google Ads; Meta Ads; SEO; social media; automação de marketing"	"agencia de marketing digital; marketing e comunicacao; planejamento digital; google ads; meta ads; seo; social media; automacao de marketing"	PMEs, empresas B2B/B2C, redes, franquias, clínicas, escritórios e e-commerces com necessidade de aquisição ou posicionamento	"Serviços; varejo; saúde; educação; tecnologia; indústria; imobiliário; alimentação; franquias"	Baixa geração de demanda, presença digital fraca, marca pouco diferenciada ou dificuldade de converter audiência em oportunidades. Demanda típica: planejamento digital.	"site ausente/desatualizado; baixa presença orgânica; pouca atividade em redes; expansão comercial; lançamento de produto; contratação de marketing/vendas"	Prospectar empresas do ICP com sinais de site ausente/desatualizado ou baixa presença orgânica e potencial demanda por planejamento digital e google ads.	Projeto + mensalidade	Alta
B2B-0002	Marketing e Comunicação	Agência de Publicidade	Planejamento de campanhas	"Planejamento de campanhas; criação publicitária; mídia; direção de arte; campanhas institucionais"	"agencia de publicidade; marketing e comunicacao; planejamento de campanhas; criacao publicitaria; midia; direcao de arte; campanhas institucionais"	PMEs, empresas B2B/B2C, redes, franquias, clínicas, escritórios e e-commerces com necessidade de aquisição ou posicionamento	"Serviços; varejo; saúde; educação; tecnologia; indústria; imobiliário; alimentação; franquias"	Baixa geração de demanda, presença digital fraca, marca pouco diferenciada ou dificuldade de converter audiência em oportunidades. Demanda típica: planejamento de campanhas.	"site ausente/desatualizado; baixa presença orgânica; pouca atividade em redes; expansão comercial; lançamento de produto; contratação de marketing/vendas"	Prospectar empresas do ICP com sinais de site ausente/desatualizado ou baixa presença orgânica e potencial demanda por planejamento de campanhas e criação publicitária.	Projeto + mensalidade	Alta
B2B-0003	Marketing e Comunicação	Agência de Performance	Mídia paga	"Mídia paga; gestão de ROAS; CRO; tracking; landing pages; otimização de campanhas"	"agencia de performance; marketing e comunicacao; midia paga; gestao de roas; cro; tracking; landing pages; otimizacao de campanhas"	PMEs, empresas B2B/B2C, redes, franquias, clínicas, escritórios e e-commerces com necessidade de aquisição ou posicionamento	"Serviços; varejo; saúde; educação; tecnologia; indústria; imobiliário; alimentação; franquias"	Baixa geração de demanda, presença digital fraca, marca pouco diferenciada ou dificuldade de converter audiência em oportunidades. Demanda típica: mídia paga.	"site ausente/desatualizado; baixa presença orgânica; pouca atividade em redes; expansão comercial; lançamento de produto; contratação de marketing/vendas"	Prospectar empresas do ICP com sinais de site ausente/desatualizado ou baixa presença orgânica e potencial demanda por mídia paga e gestão de roas.	Projeto + mensalidade	Alta
B2B-0004	Marketing e Comunicação	Agência de Social Media	Gestão de redes sociais	"Gestão de redes sociais; calendário editorial; conteúdo; community management; relatórios"	"agencia de social media; marketing e comunicacao; gestao de redes sociais; calendario editorial; conteudo; community management; relatorios"	PMEs, empresas B2B/B2C, redes, franquias, clínicas, escritórios e e-commerces com necessidade de aquisição ou posicionamento	"Serviços; varejo; saúde; educação; tecnologia; indústria; imobiliário; alimentação; franquias"	Baixa geração de demanda, presença digital fraca, marca pouco diferenciada ou dificuldade de converter audiência em oportunidades. Demanda típica: gestão de redes sociais.	"site ausente/desatualizado; baixa presença orgânica; pouca atividade em redes; expansão comercial; lançamento de produto; contratação de marketing/vendas"	Prospectar empresas do ICP com sinais de site ausente/desatualizado ou baixa presença orgânica e potencial demanda por gestão de redes sociais e calendário editorial.	Projeto + mensalidade	Alta
B2B-0005	Marketing e Comunicação	Agência de Branding	Naming	"Naming; posicionamento; identidade visual; rebranding; manual de marca"	"agencia de branding; marketing e comunicacao; naming; posicionamento; identidade visual; rebranding; manual de marca"	PMEs, empresas B2B/B2C, redes, franquias, clínicas, escritórios e e-commerces com necessidade de aquisição ou posicionamento	"Serviços; varejo; saúde; educação; tecnologia; indústria; imobiliário; alimentação; franquias"	Baixa geração de demanda, presença digital fraca, marca pouco diferenciada ou dificuldade de converter audiência em oportunidades. Demanda típica: naming.	"site ausente/desatualizado; baixa presença orgânica; pouca atividade em redes; expansão comercial; lançamento de produto; contratação de marketing/vendas"	Prospectar empresas do ICP com sinais de site ausente/desatualizado ou baixa presença orgânica e potencial demanda por naming e posicionamento.	Projeto + mensalidade	Alta
B2B-0006	Marketing e Comunicação	Agência de Inbound Marketing	SEO	"SEO; conteúdo; automação; nutrição de leads; lead scoring; CRM"	"agencia de inbound marketing; marketing e comunicacao; seo; conteudo; automacao; nutricao de leads; lead scoring; crm"	PMEs, empresas B2B/B2C, redes, franquias, clínicas, escritórios e e-commerces com necessidade de aquisição ou posicionamento	"Serviços; varejo; saúde; educação; tecnologia; indústria; imobiliário; alimentação; franquias"	Baixa geração de demanda, presença digital fraca, marca pouco diferenciada ou dificuldade de converter audiência em oportunidades. Demanda típica: seo.	"site ausente/desatualizado; baixa presença orgânica; pouca atividade em redes; expansão comercial; lançamento de produto; contratação de marketing/vendas"	Prospectar empresas do ICP com sinais de site ausente/desatualizado ou baixa presença orgânica e potencial demanda por seo e conteúdo.	Projeto + mensalidade	Alta
B2B-0007	Marketing e Comunicação	Agência de Growth Marketing	Experimentos de crescimento	"Experimentos de crescimento; aquisição; retenção; funil; analytics; CRO"	"agencia de growth marketing; marketing e comunicacao; experimentos de crescimento; aquisicao; retencao; funil; analytics; cro"	PMEs, empresas B2B/B2C, redes, franquias, clínicas, escritórios e e-commerces com necessidade de aquisição ou posicionamento	"Serviços; varejo; saúde; educação; tecnologia; indústria; imobiliário; alimentação; franquias"	Baixa geração de demanda, presença digital fraca, marca pouco diferenciada ou dificuldade de converter audiência em oportunidades. Demanda típica: experimentos de crescimento.	"site ausente/desatualizado; baixa presença orgânica; pouca atividade em redes; expansão comercial; lançamento de produto; contratação de marketing/vendas"	Prospectar empresas do ICP com sinais de site ausente/desatualizado ou baixa presença orgânica e potencial demanda por experimentos de crescimento e aquisição.	Projeto + mensalidade	Alta
B2B-0008	Marketing e Comunicação	Agência de SEO	SEO técnico	"SEO técnico; conteúdo; link building; auditoria SEO; SEO local"	"agencia de seo; marketing e comunicacao; seo tecnico; conteudo; link building; auditoria seo; seo local"	PMEs, empresas B2B/B2C, redes, franquias, clínicas, escritórios e e-commerces com necessidade de aquisição ou posicionamento	"Serviços; varejo; saúde; educação; tecnologia; indústria; imobiliário; alimentação; franquias"	Baixa geração de demanda, presença digital fraca, marca pouco diferenciada ou dificuldade de converter audiência em oportunidades. Demanda típica: seo técnico.	"site ausente/desatualizado; baixa presença orgânica; pouca atividade em redes; expansão comercial; lançamento de produto; contratação de marketing/vendas"	Prospectar empresas do ICP com sinais de site ausente/desatualizado ou baixa presença orgânica e potencial demanda por seo técnico e conteúdo.	Projeto + mensalidade	Alta
B2B-0009	Marketing e Comunicação	Agência de Conteúdo	Blog	"Blog; artigos; e-books; copywriting; roteiros; conteúdo institucional"	"agencia de conteudo; marketing e comunicacao; blog; artigos; e-books; copywriting; roteiros; conteudo institucional"	PMEs, empresas B2B/B2C, redes, franquias, clínicas, escritórios e e-commerces com necessidade de aquisição ou posicionamento	"Serviços; varejo; saúde; educação; tecnologia; indústria; imobiliário; alimentação; franquias"	Baixa geração de demanda, presença digital fraca, marca pouco diferenciada ou dificuldade de converter audiência em oportunidades. Demanda típica: blog.	"site ausente/desatualizado; baixa presença orgânica; pouca atividade em redes; expansão comercial; lançamento de produto; contratação de marketing/vendas"	Prospectar empresas do ICP com sinais de site ausente/desatualizado ou baixa presença orgânica e potencial demanda por blog e artigos.	Projeto + mensalidade	Alta
B2B-0010	Marketing e Comunicação	Agência de Relações Públicas	Assessoria de imprensa	"Assessoria de imprensa; relações com mídia; gestão de crise; reputação; press releases"	"agencia de relacoes publicas; marketing e comunicacao; assessoria de imprensa; relacoes com midia; gestao de crise; reputacao; press releases"	PMEs, empresas B2B/B2C, redes, franquias, clínicas, escritórios e e-commerces com necessidade de aquisição ou posicionamento	"Serviços; varejo; saúde; educação; tecnologia; indústria; imobiliário; alimentação; franquias"	Baixa geração de demanda, presença digital fraca, marca pouco diferenciada ou dificuldade de converter audiência em oportunidades. Demanda típica: assessoria de imprensa.	"site ausente/desatualizado; baixa presença orgânica; pouca atividade em redes; expansão comercial; lançamento de produto; contratação de marketing/vendas"	Prospectar empresas do ICP com sinais de site ausente/desatualizado ou baixa presença orgânica e potencial demanda por assessoria de imprensa e relações com mídia.	Projeto + mensalidade	Alta
B2B-0011	Marketing e Comunicação	Produtora de Vídeo	Vídeo institucional	"Vídeo institucional; comerciais; reels; motion graphics; captação; edição"	"produtora de video; marketing e comunicacao; video institucional; comerciais; reels; motion graphics; captacao; edicao"	PMEs, empresas B2B/B2C, redes, franquias, clínicas, escritórios e e-commerces com necessidade de aquisição ou posicionamento	"Serviços; varejo; saúde; educação; tecnologia; indústria; imobiliário; alimentação; franquias"	Baixa geração de demanda, presença digital fraca, marca pouco diferenciada ou dificuldade de converter audiência em oportunidades. Demanda típica: vídeo institucional.	"site ausente/desatualizado; baixa presença orgânica; pouca atividade em redes; expansão comercial; lançamento de produto; contratação de marketing/vendas"	Prospectar empresas do ICP com sinais de site ausente/desatualizado ou baixa presença orgânica e potencial demanda por vídeo institucional e comerciais.	Projeto + mensalidade	Alta
B2B-0012	Marketing e Comunicação	Estúdio de Design Gráfico	Identidade visual	"Identidade visual; apresentações; materiais gráficos; peças digitais; diagramação"	"estudio de design grafico; marketing e comunicacao; identidade visual; apresentacoes; materiais graficos; pecas digitais; diagramacao"	PMEs, empresas B2B/B2C, redes, franquias, clínicas, escritórios e e-commerces com necessidade de aquisição ou posicionamento	"Serviços; varejo; saúde; educação; tecnologia; indústria; imobiliário; alimentação; franquias"	Baixa geração de demanda, presença digital fraca, marca pouco diferenciada ou dificuldade de converter audiência em oportunidades. Demanda típica: identidade visual.	"site ausente/desatualizado; baixa presença orgânica; pouca atividade em redes; expansão comercial; lançamento de produto; contratação de marketing/vendas"	Prospectar empresas do ICP com sinais de site ausente/desatualizado ou baixa presença orgânica e potencial demanda por identidade visual e apresentações.	Projeto + mensalidade	Alta
B2B-0013	Marketing e Comunicação	Agência de Influenciadores	Seleção de creators	"Seleção de creators; campanhas com influenciadores; gestão de contratos; mensuração"	"agencia de influenciadores; marketing e comunicacao; selecao de creators; campanhas com influenciadores; gestao de contratos; mensuracao"	PMEs, empresas B2B/B2C, redes, franquias, clínicas, escritórios e e-commerces com necessidade de aquisição ou posicionamento	"Serviços; varejo; saúde; educação; tecnologia; indústria; imobiliário; alimentação; franquias"	Baixa geração de demanda, presença digital fraca, marca pouco diferenciada ou dificuldade de converter audiência em oportunidades. Demanda típica: seleção de creators.	"site ausente/desatualizado; baixa presença orgânica; pouca atividade em redes; expansão comercial; lançamento de produto; contratação de marketing/vendas"	Prospectar empresas do ICP com sinais de site ausente/desatualizado ou baixa presença orgânica e potencial demanda por seleção de creators e campanhas com influenciadores.	Projeto + mensalidade	Alta
B2B-0014	Marketing e Comunicação	Agência de Trade Marketing	Ações no ponto de venda	"Ações no ponto de venda; merchandising; promotores; campanhas de canal; materiais PDV"	"agencia de trade marketing; marketing e comunicacao; acoes no ponto de venda; merchandising; promotores; campanhas de canal; materiais pdv"	PMEs, empresas B2B/B2C, redes, franquias, clínicas, escritórios e e-commerces com necessidade de aquisição ou posicionamento	"Serviços; varejo; saúde; educação; tecnologia; indústria; imobiliário; alimentação; franquias"	Baixa geração de demanda, presença digital fraca, marca pouco diferenciada ou dificuldade de converter audiência em oportunidades. Demanda típica: ações no ponto de venda.	"site ausente/desatualizado; baixa presença orgânica; pouca atividade em redes; expansão comercial; lançamento de produto; contratação de marketing/vendas"	Prospectar empresas do ICP com sinais de site ausente/desatualizado ou baixa presença orgânica e potencial demanda por ações no ponto de venda e merchandising.	Projeto + mensalidade	Alta
B2B-0015	Marketing e Comunicação	Agência de Endomarketing	Comunicação interna	"Comunicação interna; campanhas internas; cultura; employer branding; eventos internos"	"agencia de endomarketing; marketing e comunicacao; comunicacao interna; campanhas internas; cultura; employer branding; eventos internos"	PMEs, empresas B2B/B2C, redes, franquias, clínicas, escritórios e e-commerces com necessidade de aquisição ou posicionamento	"Serviços; varejo; saúde; educação; tecnologia; indústria; imobiliário; alimentação; franquias"	Baixa geração de demanda, presença digital fraca, marca pouco diferenciada ou dificuldade de converter audiência em oportunidades. Demanda típica: comunicação interna.	"site ausente/desatualizado; baixa presença orgânica; pouca atividade em redes; expansão comercial; lançamento de produto; contratação de marketing/vendas"	Prospectar empresas do ICP com sinais de site ausente/desatualizado ou baixa presença orgânica e potencial demanda por comunicação interna e campanhas internas.	Projeto + mensalidade	Alta
B2B-0016	Marketing e Comunicação	Agência de Marketing B2B	ABM	"ABM; geração de demanda; conteúdo B2B; mídia; automação; lead generation"	"agencia de marketing b2b; marketing e comunicacao; abm; geracao de demanda; conteudo b2b; midia; automacao; lead generation"	PMEs, empresas B2B/B2C, redes, franquias, clínicas, escritórios e e-commerces com necessidade de aquisição ou posicionamento	"Serviços; varejo; saúde; educação; tecnologia; indústria; imobiliário; alimentação; franquias"	Baixa geração de demanda, presença digital fraca, marca pouco diferenciada ou dificuldade de converter audiência em oportunidades. Demanda típica: abm.	"site ausente/desatualizado; baixa presença orgânica; pouca atividade em redes; expansão comercial; lançamento de produto; contratação de marketing/vendas"	Prospectar empresas do ICP com sinais de site ausente/desatualizado ou baixa presença orgânica e potencial demanda por abm e geração de demanda.	Projeto + mensalidade	Alta
B2B-0017	Marketing e Comunicação	Agência de E-commerce	Gestão de e-commerce	"Gestão de e-commerce; mídia; catálogo; CRO; marketplaces; retenção"	"agencia de e-commerce; marketing e comunicacao; gestao de e-commerce; midia; catalogo; cro; marketplaces; retencao"	PMEs, empresas B2B/B2C, redes, franquias, clínicas, escritórios e e-commerces com necessidade de aquisição ou posicionamento	"Serviços; varejo; saúde; educação; tecnologia; indústria; imobiliário; alimentação; franquias"	Baixa geração de demanda, presença digital fraca, marca pouco diferenciada ou dificuldade de converter audiência em oportunidades. Demanda típica: gestão de e-commerce.	"site ausente/desatualizado; baixa presença orgânica; pouca atividade em redes; expansão comercial; lançamento de produto; contratação de marketing/vendas"	Prospectar empresas do ICP com sinais de site ausente/desatualizado ou baixa presença orgânica e potencial demanda por gestão de e-commerce e mídia.	Projeto + mensalidade	Alta
B2B-0018	Marketing e Comunicação	Agência de Marketing Médico	Marketing para clínicas	"Marketing para clínicas; mídia paga; conteúdo; reputação; SEO local; CRM"	"agencia de marketing medico; marketing e comunicacao; marketing para clinicas; midia paga; conteudo; reputacao; seo local; crm"	PMEs, empresas B2B/B2C, redes, franquias, clínicas, escritórios e e-commerces com necessidade de aquisição ou posicionamento	"Serviços; varejo; saúde; educação; tecnologia; indústria; imobiliário; alimentação; franquias"	Baixa geração de demanda, presença digital fraca, marca pouco diferenciada ou dificuldade de converter audiência em oportunidades. Demanda típica: marketing para clínicas.	"site ausente/desatualizado; baixa presença orgânica; pouca atividade em redes; expansão comercial; lançamento de produto; contratação de marketing/vendas"	Prospectar empresas do ICP com sinais de site ausente/desatualizado ou baixa presença orgânica e potencial demanda por marketing para clínicas e mídia paga.	Projeto + mensalidade	Alta
B2B-0019	Marketing e Comunicação	Agência de Marketing Jurídico	Marketing para escritórios	"Marketing para escritórios; conteúdo; SEO; posicionamento; mídias; geração de demanda"	"agencia de marketing juridico; marketing e comunicacao; marketing para escritorios; conteudo; seo; posicionamento; midias; geracao de demanda"	PMEs, empresas B2B/B2C, redes, franquias, clínicas, escritórios e e-commerces com necessidade de aquisição ou posicionamento	"Serviços; varejo; saúde; educação; tecnologia; indústria; imobiliário; alimentação; franquias"	Baixa geração de demanda, presença digital fraca, marca pouco diferenciada ou dificuldade de converter audiência em oportunidades. Demanda típica: marketing para escritórios.	"site ausente/desatualizado; baixa presença orgânica; pouca atividade em redes; expansão comercial; lançamento de produto; contratação de marketing/vendas"	Prospectar empresas do ICP com sinais de site ausente/desatualizado ou baixa presença orgânica e potencial demanda por marketing para escritórios e conteúdo.	Projeto + mensalidade	Alta
B2B-0020	Marketing e Comunicação	Gráfica e Comunicação Visual	Impressão	"Impressão; fachadas; banners; adesivação; sinalização; materiais promocionais"	"grafica e comunicacao visual; marketing e comunicacao; impressao; fachadas; banners; adesivacao; sinalizacao; materiais promocionais"	PMEs, empresas B2B/B2C, redes, franquias, clínicas, escritórios e e-commerces com necessidade de aquisição ou posicionamento	"Serviços; varejo; saúde; educação; tecnologia; indústria; imobiliário; alimentação; franquias"	Baixa geração de demanda, presença digital fraca, marca pouco diferenciada ou dificuldade de converter audiência em oportunidades. Demanda típica: impressão.	"site ausente/desatualizado; baixa presença orgânica; pouca atividade em redes; expansão comercial; lançamento de produto; contratação de marketing/vendas"	Prospectar empresas do ICP com sinais de site ausente/desatualizado ou baixa presença orgânica e potencial demanda por impressão e fachadas.	Projeto + mensalidade	Alta
B2B-0021	Tecnologia e Software	Software House	Sistemas sob medida	"Sistemas sob medida; APIs; integrações; portais; sustentação; arquitetura de software"	"software house; tecnologia e software; sistemas sob medida; apis; integracoes; portais; sustentacao; arquitetura de software"	Empresas em crescimento, departamentos de TI, operações com processos manuais, startups e organizações com sistemas legados	"Indústria; serviços; financeiro; saúde; varejo; logística; educação; construção; agronegócio"	Processos manuais, sistemas desconectados, baixa escalabilidade, falta de dados ou necessidade de modernização tecnológica. Demanda típica: sistemas sob medida.	"uso intenso de planilhas; sistemas legados; vagas de TI abertas; múltiplas ferramentas desconectadas; crescimento de operação; transformação digital anunciada"	Prospectar empresas do ICP com sinais de uso intenso de planilhas ou sistemas legados e potencial demanda por sistemas sob medida e apis.	Projeto + sustentação	Alta
B2B-0022	Tecnologia e Software	Fábrica de Software	Squads	"Squads; desenvolvimento contínuo; QA; DevOps; sustentação; modernização"	"fabrica de software; tecnologia e software; squads; desenvolvimento continuo; qa; devops; sustentacao; modernizacao"	Empresas em crescimento, departamentos de TI, operações com processos manuais, startups e organizações com sistemas legados	"Indústria; serviços; financeiro; saúde; varejo; logística; educação; construção; agronegócio"	Processos manuais, sistemas desconectados, baixa escalabilidade, falta de dados ou necessidade de modernização tecnológica. Demanda típica: squads.	"uso intenso de planilhas; sistemas legados; vagas de TI abertas; múltiplas ferramentas desconectadas; crescimento de operação; transformação digital anunciada"	Prospectar empresas do ICP com sinais de uso intenso de planilhas ou sistemas legados e potencial demanda por squads e desenvolvimento contínuo.	Projeto + sustentação	Alta
